"Date","GSPC","N225","FTSE","FCHI","GDAXI","SSE","BSE","HSI","TWII","MOEX"
2020-08-18,3389.78002929688,23051.080078125,6076.60009765625,4938.06005859375,12881.759765625,3451.08911132812,38528.3203125,25367.380859375,12872.1396484375,3050.69995117188
2020-08-19,3374.85009765625,23110.609375,6112,4977.22998046875,12977.330078125,3408.12890625,38614.7890625,25178.91015625,12778.6396484375,3056.5400390625
2020-08-20,3385.51000976562,22880.619140625,6013.2998046875,4911.240234375,12830,3363.89892578125,38220.390625,24791.390625,12362.6396484375,2993.68994140625
2020-08-21,3397.15991210938,22920.30078125,6001.89990234375,4896.330078125,12764.7998046875,3380.68310546875,38434.71875,25113.83984375,12607.83984375,2995.61010742188
2020-08-24,3431.28002929688,22985.509765625,6104.7001953125,5007.89013671875,13066.5400390625,3385.63793945312,38799.078125,25551.580078125,12647.1298828125,3029.419921875
2020-08-25,3443.6201171875,23296.76953125,6037,5008.27001953125,13061.6201171875,3373.57788085938,38843.87890625,25486.220703125,12758.25,3029.05004882812
2020-08-26,3478.72998046875,23290.859375,6045.60009765625,5048.43017578125,13190.150390625,3329.73901367188,39073.921875,25491.7890625,12833.2900390625,3051.96997070312
2020-08-27,3484.55004882812,23208.859375,6000,5015.97021484375,13096.3603515625,3350.11010742188,39113.46875,25281.150390625,12797.3095703125,3012.01000976562
2020-08-28,3508.01000976562,22882.650390625,5963.60009765625,5002.93994140625,13033.2001953125,3403.80688476562,39467.30859375,25422.060546875,12728.849609375,2980.169921875
2020-08-31,3500.31005859375,23139.759765625,5912.85009765625,4947.22021484375,12945.3798828125,3395.67797851562,38628.2890625,25177.05078125,12591.4501953125,2966.19995117188
2020-09-01,3526.64990234375,23138.0703125,5862.10009765625,4938.10009765625,12974.25,3410.60693359375,38900.80078125,25184.849609375,12703.2802734375,2975
2020-09-02,3580.84008789062,23247.150390625,5941,5031.740234375,13243.4296875,3404.80200195312,39086.03125,25120.08984375,12699.5,2956.5
2020-09-03,3455.06005859375,23465.529296875,5850.89990234375,5009.52001953125,13057.76953125,3384.98095703125,38990.94140625,25007.599609375,12757.9697265625,2931.919921875
2020-09-04,3426.9599609375,23205.4296875,5799.10009765625,4965.06982421875,12842.66015625,3355.36694335938,38357.1796875,24695.44921875,12637.9501953125,2921.55004882812
2020-09-07,3379.40002441406,23089.94921875,5937.39990234375,5053.72021484375,13100.2802734375,3292.59106445312,38417.23046875,24589.650390625,12601.400390625,2932.2900390625
2020-09-08,3331.84008789062,23274.130859375,5930.2998046875,4973.52001953125,12968.330078125,3316.4169921875,38365.3515625,24624.33984375,12663.5595703125,2888.7900390625
2020-09-09,3398.9599609375,23032.5390625,6012.7998046875,5042.97998046875,13237.2099609375,3254.6279296875,38193.921875,24468.9296875,12608.580078125,2876.07006835938
2020-09-10,3339.18994140625,23235.470703125,6003.2998046875,5023.93017578125,13208.8896484375,3234.82299804688,38840.3203125,24313.5390625,12691.75,2897.55004882812
2020-09-11,3340.96997070312,23406.490234375,6032.10009765625,5034.14013671875,13202.83984375,3260.34594726562,38854.55078125,24503.310546875,12675.9501953125,2910.51000976562
2020-09-14,3383.5400390625,23559.30078125,6026.2998046875,5051.8798828125,13193.66015625,3278.81396484375,38756.62890625,24640.279296875,12787.8203125,2928.3798828125
2020-09-15,3401.19995117188,23454.890625,6105.5,5067.93017578125,13217.669921875,3295.67993164062,39044.3515625,24732.759765625,12845.650390625,2980.580078125
2020-09-16,3385.48999023438,23475.529296875,6078.5,5074.419921875,13255.3701171875,3283.92407226562,39302.8515625,24725.630859375,12976.759765625,2975.01000976562
2020-09-17,3357.01000976562,23319.369140625,6049.89990234375,5039.5,13208.1201171875,3270.43505859375,38979.8515625,24340.849609375,12872.740234375,2971.73999023438
2020-09-18,3319.46997070312,23360.30078125,6007.10009765625,4978.18017578125,13116.25,3338.09008789062,38845.8203125,24455.41015625,12875.6201171875,2951.7900390625
2020-09-21,3281.06005859375,23355.697265625,5804.2998046875,4792.0400390625,12542.4404296875,3316.93505859375,38034.140625,23950.689453125,12795.1201171875,2863.669921875
2020-09-22,3315.57006835938,23351.09375,5829.5,4772.83984375,12594.3896484375,3274.30200195312,37734.078125,23716.849609375,12645.509765625,2884.65991210938
2020-09-23,3236.919921875,23346.490234375,5899.2998046875,4802.259765625,12642.9697265625,3279.7109375,37668.421875,23742.509765625,12583.8798828125,2916.38989257812
2020-09-24,3246.59008789062,23087.8203125,5822.7998046875,4762.6201171875,12606.5703125,3223.17602539062,36553.6015625,23311.0703125,12264.3798828125,2912.76000976562
2020-09-25,3298.4599609375,23204.619140625,5842.7001953125,4729.66015625,12469.2001953125,3219.41796875,37388.66015625,23235.419921875,12232.91015625,2896.830078125
2020-09-28,3351.60009765625,23511.619140625,5927.89990234375,4843.27001953125,12870.8701171875,3217.53491210938,37981.62890625,23476.05078125,12462.759765625,2927.169921875
2020-09-29,3335.46997070312,23539.099609375,5897.5,4832.06982421875,12825.8203125,3224.35888671875,37973.21875,23275.529296875,12467.73046875,2910.1201171875
2020-09-30,3363,23185.119140625,5866.10009765625,4803.43994140625,12760.73046875,3218.05200195312,38067.9296875,23459.05078125,12515.6103515625,2905.81005859375
2020-10-01,3380.80004882812,23107.509765625,5879.5,4824.0400390625,12730.76953125,3225.76970563616,38697.05078125,23561.9602864583,12526.5003255208,2889.80004882812
2020-10-02,3348.419921875,23029.900390625,5902.10009765625,4824.8798828125,12689.0400390625,3233.4874093192,38835.375,23664.8697916667,12537.3902994792,2852.419921875
2020-10-05,3408.60009765625,23312.140625,5942.89990234375,4871.8701171875,12828.3095703125,3241.20511300223,38973.69921875,23767.779296875,12548.2802734375,2881.97998046875
2020-10-06,3360.96997070312,23433.73046875,5949.89990234375,4895.4599609375,12906.01953125,3248.92281668527,39574.5703125,23980.650390625,12704.23046875,2892.98999023438
2020-10-07,3419.43994140625,23422.8203125,5946.2998046875,4882,12928.5703125,3256.6405203683,39878.94921875,24242.859375,12746.3701171875,2842.580078125
2020-10-08,3446.830078125,23647.0703125,5978,4911.93994140625,13042.2099609375,3264.35822405134,40182.671875,24193.349609375,12887.1904296875,2846.38989257812
2020-10-09,3477.13989257812,23619.689453125,6016.7001953125,4946.81005859375,13051.23046875,3272.07592773438,40509.48828125,24119.130859375,12921.5502929688,2834.09008789062
2020-10-12,3534.21997070312,23558.689453125,6001.39990234375,4979.2900390625,13138.41015625,3358.46508789062,40593.80078125,24649.6796875,12955.91015625,2846.13989257812
2020-10-13,3511.92993164062,23601.779296875,5969.7001953125,4947.60986328125,13018.990234375,3359.75,40625.51171875,24658.384765625,12947.1298828125,2829.22998046875
2020-10-14,3488.669921875,23626.73046875,5935.10009765625,4941.66015625,13028.0595703125,3340.77807617188,40794.73828125,24667.08984375,12919.3095703125,2856.080078125
2020-10-15,3483.34008789062,23507.23046875,5832.5,4837.419921875,12703.75,3332.18310546875,39728.41015625,24158.5390625,12827.8203125,2817.2900390625
